sentence,full_audio_path,no_tone
Wo ìlànà tuntun ṣáájú ṣíṣí ilé ìtura àti sinimá.,/content/drive/MyDrive/clips/common_voice_yo_37107279.mp3,Wo ilana tuntun saaju sisi ile itura ati sinima.
Àwọn dẹrandẹran sọ iná sí oko àwọn àgbẹ̀ nì Ìlọrin.,/content/drive/MyDrive/clips/common_voice_yo_36525923.mp3,Awon deranderan so ina si oko awon agbe ni Ilorin.
Àwọn oníròyìn ṣe ìwádìi lórí nǹkan tó mú làásìgbò bá ìlú Ọ̀tà.,/content/drive/MyDrive/clips/common_voice_yo_36525924.mp3,Awon oniroyin se iwadii lori nnkan to mu laasigbo ba ilu Ota.
Máyọ̀wá jẹ́ ọmọ kan tó ní ìmọ̀ àti làákàyè tó yàtọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36525925.mp3,Mayowa je omo kan to ni imo ati laakaye to yato.
Àdúrà àwọn èèyàn ni kí ìbànújẹ́ má fi ìgbà kankan wọ inú ilé wọn.,/content/drive/MyDrive/clips/common_voice_yo_36525926.mp3,Adura awon eeyan ni ki ibanuje ma fi igba kankan wo inu ile won.
Àwọn dókítà fi wákàtí mẹ́fà ṣiṣẹ́ abẹ dóòlà ẹ̀mí ìjàpá.,/content/drive/MyDrive/clips/common_voice_yo_36525927.mp3,Awon dokita fi wakati mefa sise abe doola emi ijapa.
Olórí orílẹ̀-èdè ní àkókò tó táwọn ọ̀dọ́ yóò fòpin sí ìwọ́de náà.,/content/drive/MyDrive/clips/common_voice_yo_36839682.mp3,Olori orile-ede ni akoko to tawon odo yoo fopin si iwode naa.
Dáre kí Ọ̀kẹ́ káre lẹ́yìn tó sọ góòlò méjì sáwọ̀n.,/content/drive/MyDrive/clips/common_voice_yo_36839684.mp3,Dare ki Oke kare leyin to so goolo meji sawon.
Adé ní òun kò ní kópa nínú ìbò gómìnà Ọ̀yọ́.,/content/drive/MyDrive/clips/common_voice_yo_36839685.mp3,Ade ni oun ko ni kopa ninu ibo gomina Oyo.
Opó àti àbúrò olóògbé ní ikú Kayode Olabode kìí ṣe àtọ̀runwá.,/content/drive/MyDrive/clips/common_voice_yo_36839691.mp3,Opo ati aburo oloogbe ni iku Kayode Olabode kii se atorunwa.
Mi ò mọ̀ bóyá ẹ máa fẹ́ mi tàbí ẹ̀ ń mú mi ṣeré.,/content/drive/MyDrive/clips/common_voice_yo_36839692.mp3,Mi o mo boya e maa fe mi tabi e n mu mi sere.
Láyé òde òní ó dára kí obìnrin níṣẹ́ lọ́wọ́.,/content/drive/MyDrive/clips/common_voice_yo_36839693.mp3,Laye ode oni o dara ki obinrin nise lowo.
Àwọn méjìlá tó sá àsálà fún ẹ̀mí wọn padà m'órí bọ́.,/content/drive/MyDrive/clips/common_voice_yo_36839695.mp3,Awon mejila to sa asala fun emi won pada m'ori bo.
Kò bójú mu bí ẹgbẹ́ onímọ́tò ṣe dá mí dúró sójú ọ̀nà,/content/drive/MyDrive/clips/common_voice_yo_36839721.mp3,Ko boju mu bi egbe onimoto se da mi duro soju ona
Kò sí amúgbálẹ́gbẹ̀ẹ́ inú ìtàn náà tí kò ní ipa tí ó ń kó.,/content/drive/MyDrive/clips/common_voice_yo_36839722.mp3,Ko si amugbalegbee inu itan naa ti ko ni ipa ti o n ko.
Ta ló lè sọ nípa àwọn tó ń ti Ìgbòho lẹ́yìn na?,/content/drive/MyDrive/clips/common_voice_yo_36839725.mp3,Ta lo le so nipa awon to n ti Igboho leyin na?
Ìjọba kò fẹ́ ìpẹ́jọpọ̀ mọ́ nítorí kọ̀rọ́nà.,/content/drive/MyDrive/clips/common_voice_yo_36839726.mp3,Ijoba ko fe ipejopo mo nitori korona.
Làásìgbò bẹ́ sílẹ̀ nílùú Ẹ̀kọ́ lánàá.,/content/drive/MyDrive/clips/common_voice_yo_36839728.mp3,Laasigbo be sile niluu Eko lanaa.
Elékòó ń jó wọ ààfin Ìgà Ìdúgànràn.,/content/drive/MyDrive/clips/common_voice_yo_36839729.mp3,Elekoo n jo wo aafin Iga Iduganran.
Ìwọ́de Yorùbá kò ní wáyé mọ́ nílùú Ìgbòho.,/content/drive/MyDrive/clips/common_voice_yo_36839730.mp3,Iwode Yoruba ko ni waye mo niluu Igboho.
Ó yẹ kí Kọ́lá mọ̀ nípa owó àti àlùbáríkà ọrọ̀ ajé àwọn ọ̀rẹ́ ẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36839737.mp3,O ye ki Kola mo nipa owo ati alubarika oro aje awon ore e.
Mùsùlùmí ni Bọ́lá yàn láti jẹ́ Igbákejì rẹ̀ nínú ètò ìdìbò tó ń bọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36839738.mp3,Musulumi ni Bola yan lati je Igbakeji re ninu eto idibo to n bo.
Àrá sán pa èèyàn bíi mẹ́ẹ̀ẹ́dọ́gún níbi ayẹyẹ ìgbéyàwó kan.,/content/drive/MyDrive/clips/common_voice_yo_36839740.mp3,Ara san pa eeyan bii meeedogun nibi ayeye igbeyawo kan.
Ayekòótọ́ kó olówó rẹ̀ yọ lọ́wọ́ ikú gbígbóná.,/content/drive/MyDrive/clips/common_voice_yo_36840759.mp3,Ayekooto ko olowo re yo lowo iku gbigbona.
Ilé iṣẹ́ amóhùnmáwòrán ti sọ̀rọ̀ lórí ìròyìn náà.,/content/drive/MyDrive/clips/common_voice_yo_36840763.mp3,Ile ise amohunmaworan ti soro lori iroyin naa.
Ọkùnrin kan jí aago ọwọ́ tí iye rẹ̀ tó mílíọ̀nù méjì l'Ékò.,/content/drive/MyDrive/clips/common_voice_yo_36840764.mp3,Okunrin kan ji aago owo ti iye re to milionu meji l'Eko.
Ayálégbé kan fi tipá já àbálé ọmọbìnrin kan ni Èkó.,/content/drive/MyDrive/clips/common_voice_yo_36840766.mp3,Ayalegbe kan fi tipa ja abale omobinrin kan ni Eko.
Báwo ni ìdìbò ọdún tó ń bọ̀ yí ó ṣe lọ gan-an?,/content/drive/MyDrive/clips/common_voice_yo_36840795.mp3,Bawo ni idibo odun to n bo yi o se lo gan-an?
Ẹgbẹ́ àwọ òṣèré ti jáwé gbélé ẹ fún Akin Olúkọ̀yà àti ọ̀rẹ́ ẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36840798.mp3,Egbe awo osere ti jawe gbele e fun Akin Olukoya ati ore e
"Ojú ọjọ́ kò dára lónìí, èyí ló ṣe ìdíwọ́ fún àwọn agbábọ́ọ̀lù",/content/drive/MyDrive/clips/common_voice_yo_36840800.mp3,"Oju ojo ko dara lonii, eyi lo se idiwo fun awon agbaboolu"
Mọ̀lẹ́bí Ṣèyí nìkan ló péjú síbi ìsìnkú olórin fújì náà.,/content/drive/MyDrive/clips/common_voice_yo_36840825.mp3,Molebi Seyi nikan lo peju sibi isinku olorin fuji naa.
Iṣẹ́ bọ́ lọ́wọ́ Adájọ tó fí ògbójú gbà ìyàwó olùpẹ̀jọ́.,/content/drive/MyDrive/clips/common_voice_yo_36840827.mp3,Ise bo lowo Adajo to fi ogboju gba iyawo olupejo.
Ọwọ́ tẹ ọkunrìn tó n fi òògùn burúkú ṣe ìtọ́jú àwọn àìsàn jẹjẹrẹ,/content/drive/MyDrive/clips/common_voice_yo_36840829.mp3,Owo te okunrin to n fi oogun buruku se itoju awon aisan jejere
Oun tí mo gbọ fihàn pé àwọn kan ń dọdẹ mi nínú ìlú.,/content/drive/MyDrive/clips/common_voice_yo_36840830.mp3,Oun ti mo gbo fihan pe awon kan n dode mi ninu ilu.
Oníṣègùn yọ ọ̀pọ̀lọpọ̀ ọyún tó n gbé nínú ẹyinjú àti etí arábìnrin kán.,/content/drive/MyDrive/clips/common_voice_yo_36840847.mp3,Onisegun yo opolopo oyun to n gbe ninu eyinju ati eti arabinrin kan.
Tinubu kò lùgbàdí ààrun kankan,/content/drive/MyDrive/clips/common_voice_yo_36840848.mp3,Tinubu ko lugbadi aarun kankan
Ǹjẹ́ o ti dá owó tí wọ́n fún ẹ padà fún ìjóba àpapọ̀,/content/drive/MyDrive/clips/common_voice_yo_36840849.mp3,Nje o ti da owo ti won fun e pada fun ijoba apapo
Èrò burúkú tó pọ̀ ní àwùjọ wa jẹ́ ohun tí ò le fa ìlọsíwájú.,/content/drive/MyDrive/clips/common_voice_yo_36840876.mp3,Ero buruku to po ni awujo wa je ohun ti o le fa ilosiwaju.
"Ká yọ tòṣèlú kúrò, Fáyẹmí àti gbogbo àwọn ọmọ Ekiti ṣe dáadáa",/content/drive/MyDrive/clips/common_voice_yo_36840877.mp3,"Ka yo toselu kuro, Fayemi ati gbogbo awon omo Ekiti se daadaa"
Àdùnní jẹ́bi àdínkù tó bá owó àjọ mi nítorí ọwọ́ ẹ̀ ló wà.,/content/drive/MyDrive/clips/common_voice_yo_36840879.mp3,Adunni jebi adinku to ba owo ajo mi nitori owo e lo wa.
"Ìyàwó wọn kejì máa ń pè mí lẹ́ẹ̀kọ̀ọ̀kan, mo sì máa ń dáhùn.",/content/drive/MyDrive/clips/common_voice_yo_36840880.mp3,"Iyawo won keji maa n pe mi leekookan, mo si maa n dahun."
Ìpànìyàn tó wáye ni abúle Agbájé kìí ṣe ìjà láàrín Ifẹ̀ àti Mọdákẹ́kẹ́,/content/drive/MyDrive/clips/common_voice_yo_36843878.mp3,Ipaniyan to waye ni abule Agbaje kii se ija laarin Ife ati Modakeke
Motúnráyọ̀ ti wa ọkọ̀ ló bá àfẹ́ssọ́nà ẹ̀ ní Bashọ̀run,/content/drive/MyDrive/clips/common_voice_yo_36843882.mp3,Motunrayo ti wa oko lo ba afessona e ni Bashorun
Kìí ṣe orin tó yẹ kí ọlọ́run fún mi nìyẹn.,/content/drive/MyDrive/clips/common_voice_yo_36843885.mp3,Kii se orin to ye ki olorun fun mi niyen.
Ọ̀nà káà ni eégún náà gbà wọlé.,/content/drive/MyDrive/clips/common_voice_yo_36843887.mp3,Ona kaa ni eegun naa gba wole.
Akẹ́kọ̀ọ́ gidi ni Bíọ́lá ṣùgbọ́n eré pá rẹ̀ pọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36843898.mp3,Akekoo gidi ni Biola sugbon ere pa re po.
Àwọn jàǹdùkú kọlu ilé-iṣẹ́ ọlọ́pàá ní ìpínlẹ̀ Èkó.,/content/drive/MyDrive/clips/common_voice_yo_36843899.mp3,Awon janduku kolu ile-ise olopaa ni ipinle Eko.
Agbẹjọ́rò sọ pé ìjọba àpapọ̀ kò tíì rí ẹ̀sùn ọ̀daràn kankan,/content/drive/MyDrive/clips/common_voice_yo_36843900.mp3,Agbejoro so pe ijoba apapo ko tii ri esun odaran kankan
Ọmọ ọdún mẹ́talélógún jẹ́wọ́ bó ṣe pa ẹ̀gbọ́n ìyá rẹ́.,/content/drive/MyDrive/clips/common_voice_yo_36843901.mp3,Omo odun metalelogun jewo bo se pa egbon iya re.
Ọba Alébíoṣù ti di olórí ìlú Àjàṣẹ́-Ìpo ní ìgbà ẹ̀ẹ̀rùn,/content/drive/MyDrive/clips/common_voice_yo_36843902.mp3,Oba Alebiosu ti di olori ilu Ajase-Ipo ni igba eerun
Aṣọ́bodè di èrò ọ̀rùn lábúlé Fáyẹhùn nítorí ìkọlù àwọn onífàyàwọ́,/content/drive/MyDrive/clips/common_voice_yo_36843952.mp3,Asobode di ero orun labule Fayehun nitori ikolu awon onifayawo
Àwọn ẹgbẹ́ agbá bọ́ọ́lù kan na ìkejì lọ́jọ́ ìsinmi olóyin.,/content/drive/MyDrive/clips/common_voice_yo_36843953.mp3,Awon egbe agba boolu kan na ikeji lojo isinmi oloyin.
Àwọn èèyàn pàdánù ẹ̀mí wọn nínú ìjàmbá ọkọ̀ akérò tó yà wọ ọjà,/content/drive/MyDrive/clips/common_voice_yo_36843955.mp3,Awon eeyan padanu emi won ninu ijamba oko akero to ya wo oja
Babaláwo Àlàní Paọmọlẹ́kún jáde láyé.,/content/drive/MyDrive/clips/common_voice_yo_36843970.mp3,Babalawo Alani Paomolekun jade laye.
Àwọn adigunjalè fipá bá obìnrin kan ṣoṣo lòpọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36843972.mp3,Awon adigunjale fipa ba obinrin kan soso lopo.
Kíni èèyàn lè jẹ tí ebi bá ń paá lálẹ́?,/content/drive/MyDrive/clips/common_voice_yo_36843975.mp3,Kini eeyan le je ti ebi ba n paa lale?
Wọ́n ti kéde pé àwọn ẹgbẹ́ òṣèlú lé tẹ̀síwájú pẹ̀lú ìpolongo wọn.,/content/drive/MyDrive/clips/common_voice_yo_36843978.mp3,Won ti kede pe awon egbe oselu le tesiwaju pelu ipolongo won.
Ìpàdé àdúrà ọlọ́jọ́ mẹ́rin wáyé lẹ́yìn ètò tí a ṣe ní Abẹ́òkuta,/content/drive/MyDrive/clips/common_voice_yo_36844006.mp3,Ipade adura olojo merin waye leyin eto ti a se ni Abeokuta
Ilé ijó Fẹlá Aníkúlápó ti di títì pa nítorí àjàkálẹ̀ ààrùn.,/content/drive/MyDrive/clips/common_voice_yo_36844007.mp3,Ile ijo Fela Anikulapo ti di titi pa nitori ajakale aarun.
Túndé ń ṣaáyan láti gba ẹ̀mí àwọn mọ̀lẹ́bí ẹ̀ là,/content/drive/MyDrive/clips/common_voice_yo_36844008.mp3,Tunde n saayan lati gba emi awon molebi e la
"Ní ìpínlẹ̀ Ọ̀yọ́, kò sí olóṣèlú tó fẹ́ fí owó ra aṣọ lọ́wọ́ wa",/content/drive/MyDrive/clips/common_voice_yo_36844064.mp3,"Ni ipinle Oyo, ko si oloselu to fe fi owo ra aso lowo wa"
Rògbòdìyàn tó bẹ́ sílẹ̀ lórí ìbò kánsílọ̀ ijọ́sí ti parí báyìí,/content/drive/MyDrive/clips/common_voice_yo_36844066.mp3,Rogbodiyan to be sile lori ibo kansilo ijosi ti pari bayii
Ọ̀pọ̀ ẹ̀mí àti dúkìá àìmoye mílíọ̀nú náírà ṣòfò.,/content/drive/MyDrive/clips/common_voice_yo_36844067.mp3,Opo emi ati dukia aimoye milionu naira sofo.
Kò sí àní-àní pé Ilẹ̀-Ifẹ̀ ni orírun gbogbo àgbáyé.,/content/drive/MyDrive/clips/common_voice_yo_36844096.mp3,Ko si ani-ani pe Ile-Ife ni orirun gbogbo agbaye.
Agbẹjọ́ro ọ̀dọ́ fèsì níbi ìjókòó ìgbìmọ̀ tó ń ṣe ìwádìí nìpínlẹ̀ Èkó,/content/drive/MyDrive/clips/common_voice_yo_36844097.mp3,Agbejoro odo fesi nibi ijokoo igbimo to n se iwadii nipinle Eko
Wọ́n ní àwọn ọmọdé wà nínú àwọn tó sá fún ẹ̀mí wọn.,/content/drive/MyDrive/clips/common_voice_yo_36844132.mp3,Won ni awon omode wa ninu awon to sa fun emi won.
Ìyá Àjàó lè fi ọlọ́pàá gbé ẹni tó bá ṣèèṣì fọwọ́ kan ọmọ rẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36844133.mp3,Iya Ajao le fi olopaa gbe eni to ba seesi fowo kan omo re.
Àwọn afurasí afipábánilòpọ̀ mẹ́wàá ti kó sọ́wọ́ àwọn agbófinró,/content/drive/MyDrive/clips/common_voice_yo_36844134.mp3,Awon afurasi afipabanilopo mewaa ti ko sowo awon agbofinro
Bá wo ni òrékelẹ́wà Dọjà ṣe jẹ́ sí Aláàfin?,/content/drive/MyDrive/clips/common_voice_yo_36844136.mp3,Ba wo ni orekelewa Doja se je si Alaafin?
Oun gbogbo tí mo ní kò gbọdọ̀ sọnu kó tó di ọ̀la,/content/drive/MyDrive/clips/common_voice_yo_36844178.mp3,Oun gbogbo ti mo ni ko gbodo sonu ko to di ola
Ṣé lílo àgbo ibà le dènà ààrùn ibà?,/content/drive/MyDrive/clips/common_voice_yo_36844179.mp3,Se lilo agbo iba le dena aarun iba?
Mo jẹ páànù ìyà nítori mo fẹ́ á mọ̀ọ́ká mọ̀ọ́kà.,/content/drive/MyDrive/clips/common_voice_yo_36844181.mp3,Mo je paanu iya nitori mo fe a mooka mooka.
Ọkọ̀ akẹ́rù tí ìjánu rẹ̀ já ló kọlù ọkọ̀ agbépo ló fa ìjàmbá iná.,/content/drive/MyDrive/clips/common_voice_yo_36845030.mp3,Oko akeru ti ijanu re ja lo kolu oko agbepo lo fa ijamba ina.
Iléeṣẹ́ ìjọba kan ti ń ṣàyẹ̀wò àwọn ilé to wọ́ ní ìlú Èkó.,/content/drive/MyDrive/clips/common_voice_yo_36845031.mp3,Ileese ijoba kan ti n sayewo awon ile to wo ni ilu Eko.
Ó yẹ kí ọlọ́pàá tọrọ àforíjì lọ́wọ́ àwọn olùwọ́de náà.,/content/drive/MyDrive/clips/common_voice_yo_36845034.mp3,O ye ki olopaa toro aforiji lowo awon oluwode naa.
Àṣà ilẹ̀ Yorùbá kò fi àyè gba kí á ma múra burúkú.,/content/drive/MyDrive/clips/common_voice_yo_36848561.mp3,Asa ile Yoruba ko fi aye gba ki a ma mura buruku.
Alukoro ọlọ́pàá lo fún èèyàn mẹ́ta lóyún lọ́nà àìdáa.,/content/drive/MyDrive/clips/common_voice_yo_36848562.mp3,Alukoro olopaa lo fun eeyan meta loyun lona aidaa.
Wọ́n ti rọ ààrẹ́ Amẹ́ríkà lóyè.,/content/drive/MyDrive/clips/common_voice_yo_36848565.mp3,Won ti ro aare Amerika loye.
Iléeṣé ológùn ti ń sìnkú àwọn akọni tó bá ìjàmbá ọkọ̀ Bàálù lọ.,/content/drive/MyDrive/clips/common_voice_yo_36848586.mp3,Ileese ologun ti n sinku awon akoni to ba ijamba oko Baalu lo.
Gbogbo ọbẹ̀ ẹ̀gúsí tí Àdùnní sè lati jẹ tán láti àná.,/content/drive/MyDrive/clips/common_voice_yo_36848588.mp3,Gbogbo obe egusi ti Adunni se lati je tan lati ana.
Ọ̀gbẹ́ni Ìjágbèmí dá àrá lórí ètò 'Ṣé o láyà' lọ̀sẹ̀ tó kọjá.,/content/drive/MyDrive/clips/common_voice_yo_36848590.mp3,Ogbeni Ijagbemi da ara lori eto 'Se o laya' lose to koja.
Àwọn ọ̀dọ́ tó wá láti ìlú ààrẹ ni ààrẹ Bùhárí fún ní iṣẹ́.,/content/drive/MyDrive/clips/common_voice_yo_36848593.mp3,Awon odo to wa lati ilu aare ni aare Buhari fun ni ise.
Wo bí Babátúndé àti ìyàwó ẹ̀ ṣe bá ara wọn bẹ̀bẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36848655.mp3,Wo bi Babatunde ati iyawo e se ba ara won bebe
Àwọn ọmọdé ti yẹ̀yẹ́ Adé àti Ṣọlá pẹ̀lú ààmì ayò mẹ́ta sí òdo.,/content/drive/MyDrive/clips/common_voice_yo_36848656.mp3,Awon omode ti yeye Ade ati Sola pelu aami ayo meta si odo.
Orí adìyẹ ló fà ìjọ̀gbọ̀n láàrin Babáyẹmí àti bàbá rẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36848658.mp3,Ori adiye lo fa ijogbon laarin Babayemi ati baba re
Dáre Adébóyè sọ fún Adéṣẹ́gun pé kó foríji olóògbé náà,/content/drive/MyDrive/clips/common_voice_yo_36848659.mp3,Dare Adeboye so fun Adesegun pe ko foriji oloogbe naa
"Gẹ́gẹ́ bí àṣà ìkíni ní àwùjọ Yorùbá, obìnrin máa ń kúnlẹ̀ ẹsẹ̀ kí àgbàlagbà",/content/drive/MyDrive/clips/common_voice_yo_36848661.mp3,"Gege bi asa ikini ni awujo Yoruba, obinrin maa n kunle ese ki agbalagba"
Inú túbú ni wọ́n sọ ọmọbìnrin ọ̀hún sí kó tó bímọ.,/content/drive/MyDrive/clips/common_voice_yo_36848736.mp3,Inu tubu ni won so omobinrin ohun si ko to bimo.
Ládọjà ní òun kò sí nínú ẹgbẹ́ òṣèlú kankan mọ́,/content/drive/MyDrive/clips/common_voice_yo_36848805.mp3,Ladoja ni oun ko si ninu egbe oselu kankan mo
"Èmi l'ọba lórí òrìṣà, oṣó àti ajẹ́, Olorì tuntun tó ń bọ̀ lẹ́tikẹ.",/content/drive/MyDrive/clips/common_voice_yo_36848808.mp3,"Emi l'oba lori orisa, oso ati aje, Olori tuntun to n bo letike."
Ọkùnrin márùn-ún tó jọ ń ṣe kerewà bọ́ sọ́wọ́ Ọlọ́pàá.,/content/drive/MyDrive/clips/common_voice_yo_36848809.mp3,Okunrin marun-un to jo n se kerewa bo sowo Olopaa.
Ọbásanjọ́ sọ pé Nàìjíríà yóò ṣẹ́gun ìpèníjà tó ń dojú kọ wá,/content/drive/MyDrive/clips/common_voice_yo_36848825.mp3,Obasanjo so pe Naijiria yoo segun ipenija to n doju ko wa
Àwọn ajínigbé tú àwọn ọmọ akẹ́kọ̀ọ́ mẹ́ẹ̀dọ́gun míràn sílẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36848826.mp3,Awon ajinigbe tu awon omo akekoo meedogun miran sile.
"Ilé iṣẹ́ aṣọ́bodè kò fún bàbá mi ní owó kankan, iró ló pa.",/content/drive/MyDrive/clips/common_voice_yo_36848827.mp3,"Ile ise asobode ko fun baba mi ni owo kankan, iro lo pa."
Àgbà ọ̀jẹ̀ ni Fẹlá Aníkúlápó nínú iṣẹ́ orin.,/content/drive/MyDrive/clips/common_voice_yo_36848828.mp3,Agba oje ni Fela Anikulapo ninu ise orin.
Ṣèyí Mákindé ní ààrùn jẹjẹrẹ kò leè borí òun.,/content/drive/MyDrive/clips/common_voice_yo_36848829.mp3,Seyi Makinde ni aarun jejere ko lee bori oun.
Ariwo sọ lórí ayélujára nípa pásítọ̀ tó bá ọmọ ọdún sùn.,/content/drive/MyDrive/clips/common_voice_yo_36848848.mp3,Ariwo so lori ayelujara nipa pasito to ba omo odun sun.
Kíkà ìwé ní òkè-òkun sàn ju kíkà ìwé ní ìlú yìí.,/content/drive/MyDrive/clips/common_voice_yo_36848921.mp3,Kika iwe ni oke-okun san ju kika iwe ni ilu yii.
Adé ti gbàṣẹ lọ́wọ́ ìjọba nítorí oun tó fẹ́ ṣe ní iṣẹ́ ẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36848922.mp3,Ade ti gbase lowo ijoba nitori oun to fe se ni ise e
Ẹni bá mọ Tọ́pẹ́ Àlàbí kó bá wa bẹ̀ẹ́ o.,/content/drive/MyDrive/clips/common_voice_yo_36848923.mp3,Eni ba mo Tope Alabi ko ba wa bee o.
Mo ti fèsì padà pé mi ò ní owó kankan láti ná,/content/drive/MyDrive/clips/common_voice_yo_36848934.mp3,Mo ti fesi pada pe mi o ni owo kankan lati na
Àwọn tó ṣojú wọn ti sọ ìrírí ọjọ́ náà.,/content/drive/MyDrive/clips/common_voice_yo_36848939.mp3,Awon to soju won ti so iriri ojo naa.
Ọmọ Nàìjíríà tó tó ọgọ́fà láti ilẹ̀ òkèrè gúnlẹ̀ sí Àbújá.,/content/drive/MyDrive/clips/common_voice_yo_36848940.mp3,Omo Naijiria to to ogofa lati ile okere gunle si Abuja.
Yọ̀mí Fábáyọ̀ ti kíyèsí nǹkan tí àwọn olólùfẹ́ ẹ̀ ń sọ,/content/drive/MyDrive/clips/common_voice_yo_36848941.mp3,Yomi Fabayo ti kiyesi nnkan ti awon ololufe e n so
Àwọn jàndùkú tún ti jí èèyàn méjì gbé ní Ọ̀yọ́.,/content/drive/MyDrive/clips/common_voice_yo_36848942.mp3,Awon janduku tun ti ji eeyan meji gbe ni Oyo.
Agbẹ́jọ́rò Ìgbòho ṣàlàyé pé ìfẹ́ Yorùbá lòun fi n gbẹjọ́ rẹ̀ rò.,/content/drive/MyDrive/clips/common_voice_yo_36848943.mp3,Agbejoro Igboho salaye pe ife Yoruba loun fi n gbejo re ro.
Obìnrin Fúlàní kan pàdánù ọkọ rẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36854601.mp3,Obinrin Fulani kan padanu oko re.
Nítorí àjàkálẹ̀ àrùn onígbá méjì ni mo fi kúrò nílé ìwòsàn,/content/drive/MyDrive/clips/common_voice_yo_36854604.mp3,Nitori ajakale arun onigba meji ni mo fi kuro nile iwosan
Ẹní bá tàpa sí òfin dandan ni kí ó jìyà ẹ̀ṣẹ̀ rẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36854647.mp3,Eni ba tapa si ofin dandan ni ki o jiya ese re.
Ìjọba Ọ̀sun ní abẹ́rẹ́ àjẹsára ti di dandan fún àwọn òṣìṣẹ́ ìjọba ìbílẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36854648.mp3,Ijoba Osun ni abere ajesara ti di dandan fun awon osise ijoba ibile
Ṣọlá fàáké kọ́rí lẹ́yìn tí àwọn agbagba parí ááwọ̀ náà.,/content/drive/MyDrive/clips/common_voice_yo_36854655.mp3,Sola faake kori leyin ti awon agbagba pari aawo naa.
Yímká ni asán lohun mèremère ayé jẹ.,/content/drive/MyDrive/clips/common_voice_yo_36854658.mp3,Yimka ni asan lohun meremere aye je.
Mo ra ẹ̀rọ ìbánisọ̀rọ̀ mìíràn ní ọjà Èkó,/content/drive/MyDrive/clips/common_voice_yo_36854683.mp3,Mo ra ero ibanisoro miiran ni oja Eko
Bùhárí ti sọ̀rọ̀ sókè lórí àbájáde ìwádìí ìbò tó ṣẹ̀ṣẹ̀ kọjá.,/content/drive/MyDrive/clips/common_voice_yo_36854684.mp3,Buhari ti soro soke lori abajade iwadii ibo to sese koja.
Aṣọ́bodè dèrò ọ̀rùn lábúlé Ìdìyán lẹ́yìn ìkọlù náà.,/content/drive/MyDrive/clips/common_voice_yo_36854685.mp3,Asobode dero orun labule Idiyan leyin ikolu naa.
Ọ́pọ̀ òṣèré koro ojú lẹ́yìn ikú akẹẹgbẹ́ wọn.,/content/drive/MyDrive/clips/common_voice_yo_36854703.mp3,Opo osere koro oju leyin iku akeegbe won.
Jọlá gba àgọ́ ọlọ́pàá lọ sílé ìwòsàn nítorí ọwọ́ ìyà tí ó bà á.,/content/drive/MyDrive/clips/common_voice_yo_36854705.mp3,Jola gba ago olopaa lo sile iwosan nitori owo iya ti o ba a.
Wọ́n ti gbé olóòtú ìjọba ilẹ̀ Gẹ̀ẹ́sì kan lọ sí wọ́ọ̀dù tó lágbára.,/content/drive/MyDrive/clips/common_voice_yo_36854706.mp3,Won ti gbe olootu ijoba ile Geesi kan lo si woodu to lagbara.
Wọn kò gbà kí àwọn ènìyàn lọ sí ilé ìjọsìn nítorí ààrùn yìí.,/content/drive/MyDrive/clips/common_voice_yo_36854729.mp3,Won ko gba ki awon eniyan lo si ile ijosin nitori aarun yii.
Arákùnrin tí wọ́n dóòlà ẹ̀mí rẹ̀ padà jáde láyé.,/content/drive/MyDrive/clips/common_voice_yo_36854730.mp3,Arakunrin ti won doola emi re pada jade laye.
Àwọn ọmọ ìta kọlu onírọ̀yìn kan ní ìlú Èkìtì.,/content/drive/MyDrive/clips/common_voice_yo_36854732.mp3,Awon omo ita kolu oniroyin kan ni ilu Ekiti.
Lóòtọ́ orin èmi àti Lágbájá jọra ṣùgbọ́n ìyàtọ̀ díẹ̀ wà ńbẹ,/content/drive/MyDrive/clips/common_voice_yo_36854833.mp3,Looto orin emi ati Lagbaja jora sugbon iyato die wa nbe
Agbẹjọ́rò fún Sàlámì ní kò sí àrídájú pé Igbòho lọ sí ilé,/content/drive/MyDrive/clips/common_voice_yo_36854841.mp3,Agbejoro fun Salami ni ko si aridaju pe Igboho lo si ile
Kò mọ̀ pé ìwọ̀ntúnwọ̀nsì ni èèyàn máa ń fi nǹkan kẹ́ ọmọ,/content/drive/MyDrive/clips/common_voice_yo_36854843.mp3,Ko mo pe iwontunwonsi ni eeyan maa n fi nnkan ke omo
Kò sí orílẹ̀-èdè tí kò kojú ìṣòro ààbọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36854845.mp3,Ko si orile-ede ti ko koju isoro aabo.
